Do it again!	Recommencez !
You need to go.	Vous devez partir.
I'll obey.	J'obéirai.
I didn't care.	Je n'ai pas prêté attention.
Feel this.	Sentez ça !
School is out.	L'école est terminée.
She's a cutie.	C'est une beauté.
Try some.	Essayez-en !
Let's be clear.	Soyons clairs.
Beware of dog.	Attention au chien !
Wait!	Attendez !
You're nice.	T'es sympa.
Tom was big.	Tom était grand.
I don't care.	Ça m'est égal.
They adore Tom.	Ils adorent Tom.
Tom's dreaming.	Tom rêve.
I'll check.	Je vérifierai.
She is a nurse.	Elle est infirmière.
They said no.	Elles dirent non.
I like you.	Vous me plaisez.
Get started.	Commence.
I feel safe.	Je me sens en sécurité.
I caught Tom.	J'ai attrapé Tom.
You're direct.	Vous êtes directs.
They smell bad.	Elles puent.
I'm really old.	Je suis vraiment vieux.
I was dizzy.	La tête me tournait.
I can stay.	Je peux rester.
She was crying.	Elle était en train de pleurer.
It's mine.	C'est le mien.
This annoys me.	Ça m'agace.
You're funny.	T'es marrante.
I'm lazy.	Je suis fainéant.
She helped him.	Elle l'aida.
I remember now.	Ça me revient.
Do you hear me?	M'entendez-vous ?
Let Tom stay.	Laisse Tom rester.
They're small.	Ils sont petits.
You're selfish.	Tu es égoïste.
Go away.	Bouge !
Can I help?	Puis-je aider ?
Those are good.	Celles-ci sont bonnes.
They know us.	Elles nous connaissent.
You're early.	Tu viens tôt.
I beg you.	Je vous en supplie.
I'm cooking.	Je cuisine.
We want meat.	Nous voulons de la viande.
Is Tom ill?	Tom est-il malade ?
Do you need it?	En avez-vous besoin ?
Good job!	Beau travail !
We'll take it.	Nous la prenons.
It's started.	C'est commencé.
We'll take it.	Nous acceptons.
Everybody dies.	Tout le monde meurt.
Do your job.	Fais ton boulot.
You've done it!	Tu l'as fait !
Bring Tom here.	Fais venir Tom.
He quit.	Il a laissé tomber.
I was ready.	J'y étais prêt.
I don't follow.	Je ne suis pas.
I won again.	J'ai à nouveau gagné.
It's not a dog.	Ce n'est pas un chien.
I called him.	Je l'ai appelé.
They quarreled.	Elles se sont disputées.
We're not mad.	Nous ne sommes pas folles.
Wait till six.	Attendez jusqu'à dix-huit heures.
I need water.	J'ai besoin d'eau.
Tom grinned.	Tom souriait.
Thanks again.	Encore merci.
You idiot!	Espèce d'idiot !
Do you smoke?	Tu fumes ?
I punished Tom.	J'ai puni Tom.
Tom was upset.	Tom était contrarié.
They let me go.	Ils m'ont laissée m'en aller.
Once again.	Encore une fois.
I drank milk.	Je buvais du lait.
We're a family.	Nous sommes une famille.
Lighten up.	Tranquille.
Who's yelling?	Qui hurle ?
We've finished.	Nous avons terminé.
Be prepared.	Soyez prêtes !
You go first.	Je t'en prie.
No one escaped.	Personne ne s'est évadé.
Keep it short.	Sois bref.
Many thanks.	Merci vraiment.
Tom is stoned.	Tom est défoncé.
Congratulations!	Bravo !
Go away.	Dégage !
Play it again.	Rejoue-le.
Let go of me.	Lâche-moi !
Tom goofed.	Tom a fait une gaffe.
It's taboo.	C’est un sujet tabou.
Wait till six.	Attends jusqu'à six heures.
Write legibly.	Écris de manière lisible.
Who are you?	Qui es-tu ?
Come and get it.	Viens le chercher.
Pardon me?	Je vous demande pardon.
Go ahead!	Poursuis !
I'm too drunk.	Je suis trop saoul.
I'm prepared.	Je suis prêt.
Don't rush.	Du calme.
Get out.	Disparais !
Guess who won.	Devinez qui a gagné.
I'm sad.	J'ai un coup de cafard.
Tom is sincere.	Tom est sincère.
Go ahead.	Allez-y !
I'm a nice guy.	Je suis quelqu'un de bien.
I'm sure.	J'en suis sûr.
I own this car.	Je possède cette voiture.
I have to try.	Il faut que j'essaie.
Don't hurt me!	Ne me fais pas de mal !
Are we all here?	Sommes-nous toutes là ?
I canceled it.	Je l'ai annulée.
You're all set.	Vous êtes toutes prêtes.
It sounds easy.	Ça semble facile.
We'll find it.	On va la trouver.
I'll call them.	Je leur téléphonerai.
They're trying.	Elles essayent.
I'm thrilled.	Je suis ravi.
It's secret.	C'est secret.
Go on.	Poursuis.
I went hiking.	Je suis partie en excursion.
I was careful.	J'ai été prudente.
I like talking.	J'aime causer.
I'm to blame.	C'est de ma faute.
You look upset.	Tu as l'air fâché.
He found it.	Il le trouva.
Please sing.	S'il te plaît, chante !
I know people.	Je connais des gens.
I like clocks.	J'aime les montres.
Speak up!	Parlez plus fort !
What a pity!	Quel malheur !
They're broke.	Ils sont fauchés.
Am I dying?	Suis-je en train de trépasser ?
We all know.	Nous le savons tous.
Keep driving.	Roule !
No kidding?	Ah vraiment ?
Tom's died.	Tom est mort.
I'm alive.	Je suis vivant.
I smell bacon.	Il doit y avoir des poulets dans le coin.
Really?	Ah bon ?
Come right in.	Entrez, je vous prie.
Keep reading.	Lisez la suite.
I was pardoned.	J'ai été graciée.
That'll help.	Ça va aider.
Boy was I naive.	Dieu que j'étais naïve !
They're dead.	Elles sont décédées.
They lied.	Ils ont menti.
I believe that.	J'y crois.
I have no time.	Je n’ai pas le temps.
Tom's drowning.	Tom est en train de se noyer.
Tom is welcome.	Tom est le bienvenu.
We sat there.	Nous nous sommes assis là-bas.
I'm your boss.	Je suis votre chef.
It's cold here.	Il fait froid ici.
Turn the page.	Tournez la page.
She's innocent.	Elle est ingénue.
I bike to work.	Je vais au travail à bicyclette.
They found out.	Ils ont découvert le truc.
Get the camera.	Allez chercher l'appareil photo.
This is urgent.	C'est urgent.
Go ahead.	Vas-y.
Tom was silent.	Tom se tut.
I'm greedy.	Je suis gourmand.
Are they gone?	Sont-elles parties ?
Tom's older.	Tom est plus âgé.
Tom has talent.	Tom a du talent.
They crashed.	Elles se sont écrasées.
I'm dependable.	Je suis fiable.
Tom did this.	C'est ce qu'a fait Tom.
Just sign here.	Signe juste ici.
Try not to cry.	Essaie de ne pas pleurer !
It's exciting.	C'est passionnant.
You're safe.	Vous êtes en sécurité.
You're so cute.	Comme tu es mignonne.
Can I have some?	Puis-je en avoir ?
We can wait.	Nous pouvons attendre.
He is old.	Il est vieux.
It's for you.	C'est pour vous.
I'm thinking.	Je réfléchis.
I did OK.	Je m'en suis bien sortie.
Look out!	Fais attention.
I do apologize.	Je présente vraiment mes excuses.
Let me see it.	Laisse-moi les voir.
You look sick.	Tu as l'air malade.
Is that sweet?	Est-ce que c'est sucré ?
Are we lost?	Sommes-nous perdues ?
Tom will stay.	Tom va rester.
I saw someone.	Je vis quelqu'un.
Our team lost.	Notre équipe a perdu.
We had to stop.	Il fallait que nous cessions.
Give it to me!	Donnez-la-moi.
Cool off!	Détends-toi !
Read your book.	Lis ton livre !
I found a job.	J'ai trouvé un boulot.
Take a seat.	Prends place !
How clever!	Comme c'est malin !
Have fun.	Amusez-vous bien !
I lost it.	Je l’ai perdu.
I'm tired.	Je suis fatigué !
I like sushi.	J'aime les sushis.
They're dying.	Ils sont en train de mourir.
Stop fighting!	Arrêtez de vous battre!
Are you at work?	Êtes-vous au travail ?
She adores him.	Elle l'adore.
Help Tom.	Aide Tom.
Stay focused.	Restez concentré.
I eat alone.	Je mange seul.
You're shy.	Tu es timide.
Can I sit down?	Puis-je m'asseoir ?
I need time.	Il me faut du temps.
Slow down.	Doucement !
It's snowing.	Il neige.
We're sunk.	On est foutu.
I was kidding.	Je blaguais.
Tom tricked me.	Tom m'a piégé.
Only Tom knows.	Seul Tom le sait.
I see someone.	Je vois quelqu'un.
I'm impressed.	Je suis impressionnée.
Did that work?	Ça a fonctionné ?
Follow Tom.	Suivez Tom.
Tom warned you.	Tom t'a prévenu.
I felt great.	Je me suis très bien senti.
We want candy.	Nous voulons des bonbons.
Stay with me.	Restez avec moi.
Come downstairs.	Descendez.
I struggled.	Je me suis débattu.
Tom yelled.	Tom hurla.
I trust you.	J'ai confiance en toi.
We have guests.	Nous avons des invités.
I'm fat.	Je suis gras.
I teach French.	J'enseigne le français.
Lighten up.	Relaxe !
I enjoy movies.	J'apprécie le cinéma.
He was wrong.	Il eut tort.
Tom is staying.	Tom reste.
We can't go.	Nous ne pouvons pas partir.
He's adorable.	Il est adorable.
I need a favor.	J'ai besoin d'une faveur.
We could wait.	Nous pourrions attendre.
Are you busy?	Es-tu occupée ?
Let me guess.	Laissez-moi deviner.
I was careless.	J'étais insouciante.
Be supportive.	Montre-toi solidaire.
I contributed.	Moi j'ai contribué.
Tom stopped by.	Tom est passé.
Get a job.	Trouvez un emploi !
I have a cold.	Je suis enrhumé.
Tom, wake up.	Réveille-toi, Tom !
We're sinking.	Nous coulons.
Use this.	Emploie ceci !
I'm not crazy.	Je ne suis pas folle.
It feels silly.	Ça semble idiot.
Tom is dying.	Thomas est mourant.
It's awful.	C'est horrible.
We'll swim.	Nous nagerons.
Am I first?	Suis-je la première ?
Tom is wary.	Tom est méfiant.
I'm sorry.	Désolé.
I like that.	J'apprécie cela.
Were you happy?	Étais-tu heureux ?
Tom will work.	Tom travaillera.
We're so busy.	On est tellement occupés !
Come as you are.	Viens comme tu es.
She ditched me.	Elle m'a largué.
You're winning.	Tu l'emportes.
Let's kiss.	Embrassons-nous.
I'll guide you.	Je vous guiderai.
He touched me.	Il m'a ému.
I'm tired now.	Je suis fatigué maintenant.
Tom loved us.	Tom nous aimait.
I'm curious.	Je suis curieux.
OK, I'm ready.	Bon, je suis prêt.
I live in town.	Je vis en ville.
Tom apologized.	Tom s'est excusé.
I called you.	Je t'ai appelée.
She is late.	Elle est en retard.
Who won today?	Qui a gagné aujourd'hui ?
Don't talk.	Ne parlez pas !
I got married.	Je me suis marié.
Be careful!	Soyez prudentes !
Is this mine?	Est-ce le mien ?
Keep on trying.	Continue d'essayer.
Are you winning?	Tu gagnes ?
I'm paying.	C'est moi qui paie.
Leave me alone!	Laisse-moi en paix !
I'm impatient.	Je suis impatiente.
Be punctual.	Soyez ponctuelles !
It was a mess.	C'était la pagaille.
Finish eating.	Vide ton assiette !
We're winners.	Nous sommes des gagneurs.
Don't tempt me.	Ne me tente pas !
He's married.	Il est marié.
We were lucky.	Nous étions chanceux.
I'm not tall.	Je ne suis pas grand.
I'm speechless.	Je ne trouve pas les mots.
Be thorough.	Soyez rigoureux.
Terrific!	Sensass !
I helped.	J'ai aidé.
Why do you lie?	Pourquoi mentez-vous ?
You're big.	Vous êtes grand.
It's very good.	C'est très bien.
It's not fair.	C'est injuste !
How perceptive!	Quelle perspicacité !
I should go.	Je devrais y aller.
It looks good.	Ça a l'air bien.
I love hiking.	J'adore la marche.
I had a stroke.	J'ai fait un AVC.
Unbelievable!	Ça ne se peut pas !
I jumped.	J'ai sauté.
We saw you.	Nous vous avons vue.
I am very sad.	Je suis très triste.
I must resist.	Il me faut résister.
She just left.	Elle vient juste de partir.
Who's speaking?	Qui est à l'appareil ?
Hide.	Cache-toi.
Did I hurt you?	T'ai-je blessée ?
I'm interested.	Je suis intéressée.
Come to Boston.	Venez à Boston.
I saw them.	Je les ai vus.
He has a point.	Il n'a pas complètement tort.
He is no fool.	Il n'est pas idiot.
I did my job.	J'ai effectué mon boulot.
You're a star.	Tu es une célébrité.
Don't obey him.	Ne lui obéis pas.
Forgive us.	Pardonne-nous !
I can share.	Je peux partager.
I'm a barber.	Je suis barbier.
Iron is hard.	Le fer est dur.
He let us go.	Il nous a laissés partir.
Do you smoke?	Est-ce que tu fumes ?
Meat, please.	De la viande, s'il vous plaît.
Tom's bored.	Tom s'ennuie.
I prefer black.	Je préfère le noir.
No one spoke.	Personne n'a parlé.
What was that?	De quoi ?
Let's move.	On s'arrache.
It's fall now.	C'est l'automne, maintenant.
Is that so?	En va-t-il ainsi ?
See you there.	Rendez-vous là-bas.
It's ironic.	C'est ironique.
I have a twin.	J'ai une jumelle.
Are drinks free?	Est-ce que les boissons sont gratuites ?
They look cool.	Elles ont l'air calmes.
He's not in.	Il n'est pas à l'intérieur.
Beat it.	Foutez le camp !
Don't be sorry.	Ne soyez pas désolées !
I remember.	Je me le rappelle.
It's early.	Il est tôt.
You were happy.	Tu étais heureux.
I made a deal.	J'ai conclu une affaire.
I did OK.	Je m'en suis bien sorti.
Tom was bald.	Tom était chauve.
Tom bores me.	Tom me fait chier.
It'll be easy.	Ça va être facile.
It's open.	C'est ouvert.
I have one.	J'en ai un.
He is kind.	Il est gentil.
I got fined.	On m'a mis une contredanse.
I got dizzy.	J'ai été pris de vertiges.
Start now.	Commence maintenant.
I got fined.	J'ai été verbalisé.
They cheat.	Ils trichent.
I am so sick.	Je suis si malade.
Be kind.	Sois gentil.
Are you happy?	Êtes-vous content ?
I chuckled.	J'ai ricané.
Will Tom die?	Est-ce que Tom va mourir ?
Get on with it.	Continue !
Nice timing.	Tout juste !
I was wrong.	J'ai eu tort.
Pack your gear.	Emballez votre matériel !
I tricked you.	Je t’ai eu.
That's OK.	Ce n'est pas grave.
There's a snag.	Il y a un hic.
Bless you.	À tes souhaits !
Oh, really?	Ah vraiment ?
Tom is new.	Tom est nouveau.
You seem angry.	Vous avez l'air énervé.
I'm finicky.	Je suis méticuleux.
We are all set.	Nous sommes toutes prêtes.
We want one.	Nous en voulons un.
Nobody knows.	Personne ne sait.
She types well.	Elle tape bien.
They're fine.	Ils vont bien.
It's a fact.	C'est un fait.
Aren't you late?	N'êtes-vous pas en retard ?
Tom needs this.	Tom a besoin de ceci.
I know myself.	Je me connais.
This is a lion.	Ceci est un lion.
It's so stupid.	C'est tellement idiot !
How's your job?	Comment va ton boulot ?
I need a ride.	J'ai besoin d'être véhiculée.
I must leave.	Il me faut partir.
Help us.	Aidez-nous !
Call for help.	Demande de l'aide.
Take a look.	Regarde !
Get away.	Partez.
I know a way.	Je connais un moyen.
Hug me.	Serre-moi dans tes bras !
Did I hurt you?	T'ai-je blessé ?
Is Tom safe?	Tom est-il en sécurité ?
It was a lie.	C'était un mensonge.
Be brief.	Sois bref.
Leave me alone!	Fiche-moi la paix !
What is it?	Qu'est-ce que c'est ?
They want more.	Ils veulent davantage.
You're a snob.	Tu es snob.
No one died.	Personne n'est mort.
Stay in bed.	Restez alité !
We'll help you.	Nous vous aiderons.
I got caught.	On m'a attrapée.
Is Tom working?	Tom travaille-t-il ?
Let me sleep.	Laissez-moi dormir.
Well done!	Bravo !
Tom came by.	Tom est passé.
You've won.	Vous avez gagné !
Terrific!	Formidable !
He is outgoing.	Il est sociable.
We have to go.	Il nous faut partir.
I hate my life.	Je déteste ma vie.
I like him.	Je l'apprécie.
I'm different.	Je suis différente.
You're thin.	Vous êtes mince.
Are you lonely?	Es-tu esseulée ?
Is that all?	C'est tout ?
I was worried.	J'étais préoccupé.
We succeeded.	Nous avons réussi.
Dress quickly.	Habillez-vous en hâte !
I see you.	Je te vois.
Get on a horse.	Enfourchez un cheval !
Tom can answer.	Tom peut répondre.
Please come in.	Entrez, s'il vous plaît.
Can we help?	Besoin d'aide ?
Cover for me.	Remplace-moi.
We're helpless.	Nous sommes impuissants.
Listen closely.	Écoute attentivement.
He can't sing.	Il ne sait pas chanter.
I may be wrong.	J'ai peut-être tort.
You're first.	Vous êtes en premier.
I felt ill.	Je me sentis malade.
I was fired.	On m'a saqué.
Ask Tom.	Demande à Tom.
It's very late.	Il est très tard.
Go ahead!	Allez-y !
I'm very upset.	Je suis très contrarié.
Ask Tom again.	Demandez à nouveau à Tom.
Be calm.	Sois calme !
You missed.	Tu as raté ton coup.
She died.	Elle est morte.
Straighten up.	Tiens-toi droit.
Memorize this.	Mémorise ceci.
It matters.	C'est important.
They're mine.	Ils sont à moi.
Tom trusts me.	Tom a confiance en moi.
Move quietly.	Avancez doucement.
I need a bag.	Il me faut un sac.
I oppose it.	Je m'y oppose.
Read this now.	Lis ça maintenant !
We'll both go.	Nous irons tous les deux.
We have to try.	Nous devons essayer.
Tom's a doctor.	Tom est médecin.
I think we can.	Je crois que nous le pouvons.
Please listen.	Écoutez, s'il vous plaît.
Tom's sweating.	Tom transpire.
Move over.	Bouge de là.
I'm one of you.	Je suis l'un de vous.
I'm observant.	Je suis observateur.
He was English.	Il était Anglais.
Who wants it?	Qui le veut ?
Stop worrying.	Arrêtez de vous inquiéter.
I rested.	Je me suis reposée.
OK. Go ahead.	D'accord, allez-y.
You may go now.	Tu peux partir maintenant.
I wrote a memo.	J'ai rédigé une note.
I thought hard.	J'y ai pensé très fort.
Are you lonely?	Te sens-tu seule ?
This is bad.	C'est mauvais.
He's a hunk.	C'est un beau gosse.
Finish this.	Finissez ceci.
I like rock.	J'aime le rock.
I surrendered.	J’ai rendu les armes.
He's a senior.	C'est un retraité.
You idiot!	Espèce d'imbécile !
I'm weak.	Je suis faible.
Congratulations!	Félicitation !
Tom might die.	Il se pourrait que Tom meure.
Do you get it?	Vous pigez ?
I'm a dentist.	Je suis dentiste.
It's stealing.	Il s'agit d'un vol.
Time is up.	Le temps est écoulé.
It has a flaw.	Ça présente un défaut.
Be prepared.	Sois prête !
They will come.	Elles viendront.
Tom is loud.	Tom est bruyant.
He has a lunch.	Il a un déjeuner.
I was patient.	J'étais patient.
It's nothing.	Ce n'est rien.
I have a plan.	J'ai un plan.
I'll clean up.	Je nettoierai.
Boy was I naive.	Ce que j'étais naïve !
I fell in love.	Je suis tombée amoureuse.
He has wine.	Il a du vin.
Think about it.	Réfléchissez.
I travel light.	Je voyage léger.
Keep back.	Recule.
Good job!	Bon boulot !
Have you slept?	Avez-vous dormi ?
Excuse me?	Plaît-il ?
I rescheduled.	J'ai décalé.
Are you mad?	Êtes-vous fou ?
Is it an elk?	Est-ce un élan ?
It was snowing.	Il neigeait.
Be reasonable.	Sois raisonnable !
Just leave it.	Laisse-la.
Tom is happy.	Tom est content.
That's doable.	C'est faisable.
Settle down.	Tranquille.
Let him in.	Laisse-le entrer.
Tom likes this.	Tom aime ça.
I will take it.	Je le prendrai.
Don't argue.	Ne discute pas.
It's awesome.	C'est génial.
Just call Tom.	Il suffit d'appeler Tom.
I love winning.	J'adore avoir le dessus.
Wish me luck.	Souhaite-moi chance !
Are you hurt?	Es-tu blessé ?
It's all wrong.	C'est complètement faux.
Who knows?	Qui sait ?
Quit biting me.	Arrêtez de me mordre.
Do you hate me?	Tu me détestes ?
I ran away.	Je me suis enfuit.
Are you lonely?	Es-tu esseulé ?
We're the best.	Nous sommes les meilleurs.
Tom is kind.	Tom est gentil.
It's begun.	Ça a commencé.
You're losing.	Tu perds.
I can't eat.	Je ne peux pas manger.
I'm stuffed.	Je suis gavé.
I've got eyes.	Je suis pourvu d'yeux.
I love dessert.	J'aime le dessert.
All aboard!	Tout le monde à bord!
Seize him!	Capturez-le !
Fear nothing.	N'aie crainte.
Is he American?	Est-il Américain ?
She overslept.	Elle n'a pas entendu le réveil.
I feel giddy.	Je suis pris de vertiges.
Be thorough.	Soyez minutieux.
I have to wait.	Je dois attendre.
